text,sentiment
Hoy le dije a mi hermano que sali a acompañar a una amiga al centro y me dijo: cual amiga? Vos tenes amigas? Y quede asi→,NEU
$gruma manipulada..????..No creo..!!!..Todo el 2016 estaba pal perro..!!!...Ahora resulta..!!!...o reportó el trimestre..??...,N
"Por una parte necesito la cena del sábado y volver a estar todos juntos, pero por otro lado pienso que nos vamos a separar y     ",NEU
"Y de pronto todo dejo de importarme, y sí, así estuve viviendo feliz",NEU
@wkCArlos yo soy igual Jajajaja trató de evitarlo pero no lo logro,NEU
"@julirod14 Lástima que ya terminamos las clases, quedó pendiente el Mannequin Challenge ...",N
Ya me está jodiendo la tarde Pep...bueno me.voy a dar un.paseo ,N
Lo malo de no saber cocinar es que debes tolerar los suculentos platos preparados por tu hermana o simplemente no comer. #PornFood,N
"Mira que soy pesimista a maza, pero odio que la gente sea TAAAAN pesimista ",N
Feliz día a todos mis amigos músicos y a todos los músicos en general. Pásanela bonito #Música #Rock #vida #felicidad,P
@vale24_12 siempre es bueno la opinión de un playo,P
"@elsueco76 @Bassorelli @LuchoVezzoso @ALEJANDROGONZ37 @alededecanocom @DanieldeLocos @AlvaroLevrero yo no puedo, no estoy registrada",NEU
y ale le dijo otra vez que estaban ocupados pero más calmada y recién lo capto y se fue. Al final nadie se sentó en esos sitios,NEU
"@Sofiabubble sí para las propias, pero para andar hurgando en las cuentas de otros?",N
No soy una eerta en la cocina pero lo poco que sé siempre me ah funcionado.,P
"Me siento del pinche pito a la verga, en verdad tengo que dejar de tomar Y todavía quieren beber más hoy, Y MAÑANA ES 31 no mames",N
Estoy solita en la oficina... pondré mis vídeos de cosas paranormales sin audífonos,NEU
Empezamos con los 3 dias de festejos x mi cumple la noche promete..es q cumplir estos años bien vividos hay q celebrarlos como se debe,NEU
"Es que, quizá, el miedo al amor, nos hace estar con las personas incorrectas, pero ""seguros"". Esta noche me duermo con un sabor amargo.",N
"La única a la que le voy a decir es a mi novia. Así que si no me estás pagando ningún recibo de mi casa, no estés chingando",N
"No soy suicida ,me gustan ese tipo de cosas . Es que lo fui dos veces",N
"@cocoeldelcamion se, me acuerdo también que íbamos a las yerras en el campo de mi amigo en el corsa del Darcy. Lastima que es del FA",N
No todos son Imeldos navideños en esta época #Imelda #torta #queque #morado…,NEU
@sergiouy52 lo sé Sergio. La dedicactoria te comprende por supuesto,NEU
-Amor 1:02 : Acabo de ver a mi hermana con su pretendiente -Camila Díaz 1:03 : uyyy no te exhaltes es normal jaja -Amor 1:04:Casi le pego,NEU
"Como te elicas algo que no viste venir, ¿Cómo?",NEU
"@nachobartolome de hecho, Nintendo Magic fue la principal fuente de información para mis especiales biográficos de Iwata ",NEU
me traje un kitkat porque ya sé que a mi mamá le da por cortar carbohidratos de putazo pero tengo aquí 23 horas y ya me lo quiero chingar,N
