text,sentiment
@dianalaa32 Es una escena de uno de los documentales más respetados sobre naturaleza ('Planet Earth' de la BBC). Dudo que sea montado.,P
Qué feo es tener que terminar con alguien; y más cuando las dos personas aún se aman pero el entorno no es favorable.,N
"Oído en McDonalds ""el mejor mannequin challenge que he visto hasta ahora es el que ha venido haciendo este gobierno desde hace dos años""",N
"Tengo que aceptar que me esta hundiendo el consumismo con la nueva Macbook Pro, la Gopro Hero 5, el Gopro Karma y el Nintendo Switch",NEU
"Mmm no quiero hacer spoiler pero hoy va a ver algo nuevo en el canal,lo podras ver en el nuevo video que subire en unas horas",NEU
@itsdylanjos yo solo las cucas,NEU
@Adri_hdezv Bby muy duro la verdad,N
@_AlejandroDP no estoy en la zona roja,NEU
Quiero como tener carro para hacer todo rápido,NEU
Tristeza más hp me da siempre en año nuevo,N
"@sancarlena77 @miguelpintor05 @demalaspalabras sip, te entendí por tu tuit anterior",NEU
"@eebenitez_ Jajaja es muy triste esto, pero ya hoy consigo otro",P
"@ignaciosolisw ya yo voy de vuelta, pero le dejé la pampa lindísima",P
"@BrujaMalvada_ no tengo en la casa apenas entre, te mando uno así jaja",NEU
mañana tengo el día libre y no tengo nada más que hacer que dormir,P
@Jovel_Alvarez no sé si a todos les funcione pero ¡nosotros sí que lo vemos cumplido!,P
Para mi mamá toda la ropa que escojo es fea hasta que me la ve puesta,NEU
"@vesamo13 ok, vea el lado positivo, tiene un motivo para hacerle drama el resto de si vida.",P
En mi pueblo anda una patrulla de @fuerzapublicaCR recolectando alimentos no perecederos. En mi casa ya donamos #CostaRicaUnida,P
Se me rompió el pantalón horizontalmrnnte por el muslo hasta debajo de la nalga... Ya estoy a la moda,N
"@ESPN_FDJ Soy de CR estudiante de periodismo me encanta el ámbito deportivo los admiro y sueño con conocerlos, porfaa? #FDJPuraVida",P
"No me niegues, Señor, tu misericordia; que siempre me protejan tu amor y tu verdad. Salmos 40:11 Buen día a todos",P
"Primer vez en años que no tengo plan de Halloween, difraz, nada... solo quiero terminar de estudiar rápido y ver el partido",NEU
Estoy toda estresada para el examen de mañana como que si lo fuese a perder jaja Pero ya pasé el curso y todo,NEU
"Mañana tengo examen de química e inglés, y aquí estoy acostada, con el celular, conciente de que no se ni que temas me entran",N
"Maes, la vida es una mierda: estén felices o no. Mejor sonrían y aprovechen el tiempo. Estar amargado no la va a hacer menos mierda.",NEU
Acabo de ver una chamaca con un piercing de mota en el ombligo. Lo peor es que tiene cara de que lo que fuma es jamón,N
Delicioso @ San Rafael Ezcazu,P
@AnaVM @Katagelon fijo está demasiado hermoso,P
Qué rico el silencio de mi cuarto,P
Mis lunes no volverán a ser iguales @Luis_GadeaA,NEU
Lo extraño demasiado! 5 días es demasiado para mí,N
No me arrepiento de nada ah Ojalá tuviera dinero infinito,NEU
@charlie10cr seguro las productoras estaban centradas en traer los de siempre,N
"@cotarola Te mando un abrazo. Vienen días duros, pero se superan eventualmente",P
"Estoy viendo #Bridegroom en Netflix y me tiene de un puro moco, véanla!",P
"11.46PM y tengo hambre, mejor me acuesto ya por que la panadería está cerrada",N
"@KimberlyReyesC4 Como te digo, come maaaas y en mi casa sólo estamos mamá y yo",NEU
"Me voy mañana para la playa, confiando que el sol me quite esta gripe tan horrible.",P
"@valealfaroq Yo ando en las mismas, pero no tanto dolor sino inflamación y parezco embarazada. ¡Qué horror!",N
"@Brenes0791 Yo estoy super ansiosa, el asueto me da la tranquilidad de estar con mis papás, nada más",N
"Que se hace cuando mi mamá tiene facebook, y no me da pelota por estar metida en el celular.",N
"Tengo que aprender a no prestar mis cosas, porque al parecer a todas se les hace muy divertido nunca devolverlas",N
Cuando yo vi al Pipi aquí en la conferencia de prensa casi lloro como ese niño Pero solo estaba ahí temblando,NEU
@ASuicideBoy me siento muy identificada con tus tweet y vi tu cuenta porque mi mejor amiga aveces da rt a tus cosas,P
"@avargas10785 yo hago eso, sino nadie contesta, así ven que no es mi culpa que no se muevan las cosas, perdón por vivir",NEU
Hoy tengo 2 preguntas existenciales...1) ¿Por qué hoy esta haciendo TANTO frío? y 2) ¿Porque me volvió a dar hipo después de tantos años?,NEU
"La vara es que ya tengo como 3 quiz, una eición, dos exámenes, un ensayo, y lo peor es que mis vacaciones ya casi acaban",N
"@byCoba con agua, hielo regularmente para que se mantenga fresca y un poquito de azúcar a la semana, me han durado hasta más de 1 mes.",P
Nos encanta hacerte feliz @rubndu,P
Que buena vibra me transmite @Cocofunka,P
no encuentro ninguna buena serie en NF.,N
"@cmfluisangel ...Misionero ideal, Oh Claret! ...109 beatos nuevos",P
@Alphasniper97 Alpha suerte y ten un feliz año 2017,P
Cada vez que veo a esa muchacha está más guapa,P
@msalgadocr de fijoooo. Y luego juntos olvidamos que fuimos a Palmares,NEU
@Chelo1478 porque si digo que quiero mamón chino me dicen una vulgaridad,N
@zeroanima Esto me hizo feliz pero aun mas triste por no poder teletrabajar,N
"Que bonito, la lluvia regresa cuando me toca ir por mi Hermanita al Kinder",N
"@edgumaco me acuerdo de la clínica Norza, el Peri, las casas en lotes llobet dañadas",NEU
"@Ka_Arroyo_ jajaja yo nunca spoileo, eso lo odio pero le recomiendo no meterse a Tw mañana",P
"Hola, @latrwn1. En este momento no lo tenemos, pero como siempre: queda encargado para el próximo pedido",NEU
"@gaby_mata25 La voz sepsi que debe tener Que dicha Gaby! Ya el lunes regresará ""con toda la pata""",P
"@AnDiGu Hola, me dijo que estaba bien, fuertes aguaceros y mucho viento pero todo bajo control. Gracias por preguntar",P
@jdclarke y que el mae no sea tan desastroso como aparentó durante la campaña. Hope is all we have left,N
@LovatoMyLight jajaja exacto! Esta todo igual solo que mas serio pero nada de declaraciones aun. Solo que siempre nos decimos asi.,NEU
Jaja Trump en los primeros 3 meses se va a traer abajo el TLC nos vamos a ir todos a la mierda,N
@SoulsTRK @youcaring ¡COMO QUISIERA AYUDAR! Pero no puedo soy menor y no tengo tarjeta y mucho menos dinero si tuviera ¡le daría todo!!,N
"@GaboJimenex jajaja. Yo me pegué el susto de la vida, y luego la espera por meterlo al taller de iCon. Pero ya está vivo.",NEU
"Mi consejo de hoy es: Si quieres que esa persona tan especial para ti nunca te olvide, pídele dinero prestado y nunca se lo pagues",NEU
"@doriamdiaz El de Halfon de Germinal se ve mortal. Y los de Mary Jo Bang se fueron volando, pero todavía quedan. En Duluoz hay de Salcedo",P
Parce yo estoy igual @PaisaVlogs,NEU
Ay la canción de tercer cielo,NEU
Amo la nueva canción de Sofía Reyes,P
Cuando queres comprar muchas cosas pero eres pobre,N
Si ocupan gente para una mejenga yo estoy disponible,NEU
@argmau deben ser mejores las que no me hacen menchon,P
@nubecina @grassengel pero no están en el cantón central de SJO,NEU
"Buen día @Dr_ivrecagu muchas gracias por su comentario, es un gusto servirle.",P
Me da tanta playada tener que ponerle el cono de nuevo a whiska,N
"@Fressia_Montero ¿por qué ? ¡Tenés 9 días, actividades y muchas películas disponibles para asistir!",P
Maldita lluvia me mata mi negocio. Así nadie quiere bañar ni sacar a los perros.,N
"El tren cada media hora es un mito urbano, no ha pasado el de las 9",NEU
Veo que sí la depresión tropical se convierte en huracán se llamará Otto. Que comience el MemeFest!,N
Ayer me dieron una botella y le pegue un trago pensando que era yin o Fresca gracias marifer,N
"@Maluavi @edmed82 @figuerescr invitadísimo a hacer las cosas diferente, hay que involucrarse y dar espacios a la mejor gente.",NEU
"Hoy tenemos la sección ""De su propia voz"" y es por parte del grupo @limite21 ¿Qué nos contarán? Descubrílo en…",NEU
"Mi imposible quiere irse a Europa. Yo tenía pequeñas esperanzas sabiendo que era imposible, pero ahora se las lleva para Europa",N
@SalgueroMoya por cada acción cometió como 4 delitos a la vez. Eso se llama concurso ideal. O material. Ya no me acuerdo,NEU
No es posible que Trump vaya ganando las elecciones y que yo aún no me gane una pizza de @OterosPizza. ¡¿Qué es esto?!,N
