text,sentiment
"Ese momento en el que no puedes dormir y no sabes por qué, pero estás con una sonrisa de oreja a oreja al igual que toda la semana",NEU
"@Fiorela_Gue aw ! recién veo esto, sorrry ! tu pues me dices algo y luego queda en nada vamos hoy a la reu de mi prima? le dije a Mari",NEU
@CJSuasnabar soy el perro asesinado,N
@DavidJeffer06 Ay! Esas medias tan lindas,P
"Que histérico es la bestia, pobre bella",N
El quinto día #cousins #Holidays @ Previos Restobar-Pub,NEU
Necesito urgente entrar a la gimnasia y al gimnasioo,NEU
"Hasta lo peor de mi, quiere lo mejor para ti",NEU
"Mal momento para tomar café caliente, no dejo de sudar, coño",N
Nunca me había dormido tanto en una película de timburton que raro,N
Hoy soñé que @wendyvasquezl era mi profe de actuación y fui extremadamente feliz.,P
El apagón de ayer mas mi estado alucinógeno = La guerra de los mundos,N
"@PierinaMz Los más buenazos, son los medio gruesitos y cortados de forma vertical. Según yo.",P
Me daré el abrazo de fin de año sola o khé? por qué se demoran tanto,N
@Vere_MC disculpas aceptadas (chiechie) espero que te haya gustado el regalo si es que ya lo viste.,NEU
"Bueno, ¡a finalizar el último libro que tengo en mi “currently-reading” de @goodreads antes que termine el año!",NEU
"@Libranorte te entiendo, toda mi vida me he sentido igual; pero siempre hay que ser fiel a uno mismo",NEU
Me siento tan estúpido de haber abierto una herida ya cicatrizada a alguien que aún me sigue importando.... lo siento,N
No hay mayores problemas dice vocero Lewin Mejía sobre amago de incendio... es un centro comercial no una bodega @hudwalker @canalN_,N
"@JordiWild Primero los XV de Ruby ahora Tongo, jaja Giorgio de a pocos vas conociendo Latinoamerica ... aunque no la mejor cara",NEU
Contigo porque me matas y ahora sin ti ya no vivo --&gt;Tal cual! Te mereces todo lo que has conseguido y conseguirás @AbrahamMateoMus,N
Me alejé tanto de mis amigas de la universidad por lo que me fui a estudiar de noche y no saben cuánto las extraño,NEU
@Bryanpinarivera @EvaMPT @diegorrc el I no entra en el Machete y el VII tampoco porque aún no se sabe el rumbo de la nueva trilogía,NEU
"@LuciaLu26 JAJAJA crjo, no lo dije por ti mi primer saliente fue a esa edad y mi mamá nunca lo aceptó por esto que recién entendemos",NEU
hoy me toco visitar a mamá en su descanso eterno le contare todo lo que vivo ella fue es y siempre sera mi MEJOR AMIGA sin igual,P
"No sé si los maltrataban de verdad pero me dio penita ver eso No me gusto eso, no son objetos para que los traten así. Me indigna tanto",N
"Que el finde sea para hacer cualquier cosa que a uno lo haga FELIZ, lo que sea pero que sea lo que a uno le de la reverenda gana",NEU
@YurikitoKSP que bien yuriko. Felicidades,P
@lovingmykookie extrañare este tweet como fijado,NEU
Amo los vestidos largos y los enterizos,P
Feliz de ver a mis amigos felices #BuenaVibraAlFin,NEU
@Agustozuloeta con todo. Debe ser un buen 2017. Abrazo,NEU
