text,sentiment
"@leomall2018 Según yo era como aviso, pero ahora sí ya es oficial",NEU
"@benshorts a juzgar por mis comportamientos autodestructivos en las relaciones, aún quiero serlo",N
#BuenosDias mundo Twittero ya desperté y estoy listo para vivir un dia mas #ExcelenteMartes,P
No pude resolver el rompecabezas en Los rios de Alicia y ahora muero de tristeza,N
o sea ... me urge un Dr. @Rocktor101 (escuchó un programa de males digestivos y así),N
"@natyamezcua hay pues hay que ver que hacemos para vernos, te extraño, no quiero que te alejes",NEU
@Eudemonologia87 yo igual y ni así. Este año seré tipo marasalvatrucha para ver si así me traen algo.,N
"@shakira no te puedo llevar en mi bicicleta. Me caí y está descompuesta. Happy to walk with you, tho.",N
"@MartinCaligaris Tu forma tan linda de decir: Borris Chavez!!! Gracias por el saludo, ya prontito nos vemos, abrazos México papá!!!",P
Mi novio me vigila en Twitter y ahora todo lo que diga puede ser (y será) usado en mi contra ¡Ayuda!,N
@Pagano656 #NoaNoaStyle es uno de los mejores luchadores que ha llegado a @luchalibreaaa Yo tengo el gusto de seguirlo hace 4 años,P
"@Tribuna_I Si, pero yo lo veo otros 6 meses más en Pachuca, tiene calidad el Muchacho Y ayer demostró que si está listo",P
4:18 AM. Que gran dilema. ¿Despertar a mamá para que me baje a abrirme o dejar que siga durmiendo? Pd. Venga saliendo del trabajo,NEU
"—¿Y la novia mijo? —El concepto de pareja es arcaico y reduccionista, pienso que la mujer debe tener libertad para pod —Nadie te pela —No",N
"Ya estoy en mi casa maigues, no morí. Bien pinche adolorida pero ya en mi casita. Pd. Me quieren llevar al rancho pero yo no quiero",N
@TrusaRota ha si ya vi si se ve buena!!! La pondré a ver si no me duermo dura un buen jaja pero se ve buena!! Mil gracias,P
"Desde que tengo uso de razón todos mis fin de año han sido en casa de mi abuelita, este año será distinto y triste, te extraño tanto abu",N
"Ayer un canadiense me preguntó que a que hora abrían el local de arriba, le dije que a las 10, eran las 10:10 y él dijo ""oh, mexican 10""",N
Estoy muy celoso. Pinche Carlos.,N
Extraño los videos de los GMR,N
Lo bueno que nadamas es esta semana,NEU
Puta madre lo que me faltaba enfermarme #QuieroLlorar,N
"Pobresita jajajaja, no no tendras su amistad de nuevo",N
Pagaré una maleta extra para todos nuestros nuevos momentos juntos,P
Que difícil es tomar una decisión cuando no es para ti,N
"Probablemente un compañero renuncie en los próximos días, la perrada se desintegra",N
"Me atropellaron, y me duele mucho mi pierna Estoy bien pinche salado VV",N
