text,sentiment
"@carodominguezuy @Zanocchi @luciabrocal fue whatsapp! Si no lo convencemos, se van las dos con Feli en fin de semana de disfrute total",NEU
"@guillevaldes Que lindo está @cuervotinelli hoy todo de Azul , alguna vez te dije que vos SOS La Madrastra Perfecta  bella mujer!!",P
"@dannyviLe Lo que no es razonable es que tres encuestas, hechas en la misma fecha, le den 2%, 3% y 8% Todo puro humo.",N
"Quisiera cumplir mi unico sueño de ser cantante, todos los dias intento escribir una cancion pero soy de pocos recursos y no me pongo mal",NEU
@Tocinitas @sessh0marusama gracias a las 2! mi amiga necesita lectores El fic (por si no se ve el link) está el link en mi tw fijado,P
Una Fiat Panorama del 78 encendida fuego al lado del cajero me dio una lastima solo quedo la chapa y el chasis y un poco el motor,N
@letifcosta @letsgroove27 le dijo que estaba pronta pero que se iba a cambiar y que era hora de que el se fuera....de su vida ! + o -,N
Necesito masajes estoy toda contracturada,N
"@KarenTabarez No, yo no soy importante",N
@clauchoarrionda pquno ladra y ls demas retwitean,NEU
@XimeRobayo oprime los dos botones la próxima vez,NEU
"@ElConservadorUY 2,98 No alcanza ni para un batido decente!!",N
Tremenda depreciación me agarra cuando me dejan en mi casa,N
Y otros dias publicare mas para que voten LOS QUIERO MUCHOOOO,P
@GermanGarmendia podria tomarme una foto contigo antes que te vayas de Uruguay??,NEU
@BenjaCandado eres una de las mejores personas que he conocido en mi vida,P
"@candetinelli TE AMO BOLUDA!!, y lo sabes... Bien metida !!, me haces reír ...",P
"@cuervotinelli @candetinelli Mañana es mi primer sesión  , Vamo a tapar el tajo ...",NEU
"@cuervotinelli Que descanses !!, Tqm ..., re lindo el programa de hoy @elchatoprada @hoppefede  !!",P
@diego_14m @thiago23ok @diegodelacurva Así opinan desde el FA de la gente del interior. Increíble que les voten,N
es re triste q a todo mi inicio le pongan cosas en el cc y a mi no,N
"@sbarreiro1985 como puede ver en el gif, fue una pelea limpia, sin armas, cualquiera de los dos podía ganar!",NEU
#fiestazomegastar ¿ Qué piensas de que muchisimas abrahamers uruguayas viajan a Argentina para verte brillar ? ..... Uruguay te ama,P
"@cuervotinelli Buenas noches que descanses !!,12 días para verte;3, prometo ésta vez quedarme hasta el final del programa así te conozco",P
PeroFuiste mi primera mascota.....Te di tu primer baño y te cuide Pero son cosas de la vida pero ahora tengo a M…,NEU
"@cuervotinelli el 27 de diciembre tengo mi primer sesión, luego el 11 de enero... NECESITO HACER ESTO POR MI PARA SENTIRME PLENO !!",P
@RobleisIUTU hola compartí el video y grax por decir que eras hay me sino orgulloso de que admitas tu contento salúdame en el otro,P
Les juro que estaba nublado y me puse protector pero no puedo dormir porque no puedo apoyar la cara en la almohada. Quiero ser negra,N
"@nachoabalos si, lo ideal sería q te la llevan a tu casa o lugar de trabajo y de paso que sea en un bondi @ElOjoChurrinche @Dmartinez_uy",NEU
"Loco yo desde el sábado estoy pensando en lo divino que es el hermano de Vanesa Britos jajajaja, eu queria uma foto com ele nao com ela",P
@joelalsolo ta bien hablo de penarol ! viste que le ganamos a lanús que fue el campeón de argentina y ganamos la copa río de la plata ?,P
@alededecanocom yo estuve... Epocas duras,N
"Lo extraño loco, nadie entiende eso",N
@NinetalesGD NO ME JODAS... que gran lastima,N
@gordo_lado me acaban de recordar que está suspendido...,NEU
@Phoyu_Agustina @WillyrexYT yo siempre e querido una fan así,P
"@AlbertoRaimundi Es shileno, Alberto, nada más que agregar, ajajajaja. Beso!",N
Feo que se sienta mal y no poder ir a visitarla,N
Como necesitaba esa juntada asi de compañeros y pasar un lindo rato,P
Viste cuando necesitas que alguien te escuche pero ese alguien no está? bueno,N
A mi desayuno le hizo falta un alfajor podrida de las galletas de arroz,N
Tengo ganas de dormir porque esta re frio y re lindo pero no tengo sueño,NEU
"Ya perdimos al tío y ahora la abuela en estado grave ,preciosas fiestas voy a pasar.",N
@lulurowell @isgra3111 @diegodelacurva ¿Que hablaste de Pepe Batlle? Que fundó empresas públicas que tu FA FUNDIÓ jajaja,N
"después 1 mes me entero q a una piba le robaron las entradas para el m&amp;g, ayy pobre!",N
"@Agusblanco01 te dije que era la mejor serie, igual a mi no me sale hasta el 26 de eneero",P
"@elpenela Sí, Celta Barcelona lo ves por Fox! Perfecto, yo porque se me fue el # cuando puse Champions. Sds",NEU
En parte si xq las flores ya van a estar pero esvlo unico bueno de las fiestas que voy a pasar,NEU
"Agarro la cuadernola para estudiar y enseguida empiezo con sueño, me aburro, agarro el celular, todo me distrae en ese momento LITERAL.",N
"@Yannisame jajaja, le gusta el vino tinto! hace años me respaldó un proyecto y a modo de agradecimiento le mandé un vino uruguayo",P
"No compitas con nadie, no tienes que demostrarle nada a nadie, no tienes que llegar a donde otro llegó, solo superar tus propios límites.",P
"@cuervotinelli Buen día para el Conductor televisivo número 1 de América  .TE AMO CON TODO MI CORAZÓN P@;3, te veo luego a las 22:30hs",P
@ZockClient se suman los 2 clicks del mouse y de un click normal de 3 pasa a tener un click de 14 no son macros 2/2,NEU
@lorenacionaaaal jajaajja soy mas bueno aparte lo que yo haga o deje de hacer no tiene nada q ver con la persona que este jajaja es chica,NEU
@PPTeamLesslie me pone taan triste q no puedan venir a uruguay o no quieran y no hagan un show asi ojala vengan y hagan algo como en arg,N
@tatyynacional pero si estoy sentado,NEU
@happyviciconte Gracias Gil Tambien Te quieroo,P
Pq nunca puedo tener un perro propio?,N
Un abrazo es un poema escrito en piel..,P
Sería más divertido tw si yo supiera usar cc,NEU
Gracias todos los que me dejaron un mensaje diciéndome suerte,P
Pero mis padres y familia no Te quiero bonita y gracias,NEU
"@cuervotinelli Buen día Papá hermoso !! ;3, Que tengas un lindo Domingo",P
@CuadradoAndres @grazianopascale @adeladubra jaja muchas gracias!!! muy buena onda de todos los implicados!!!,P
"Tengo que ir al dentista, re solo, ni siquiera está mi amiga para acompañarme",N
"@cuervotinelli ESTOY MUCHO MÁS FLACO ^_^, toy contento !!, cuánto medís vos Papá??,yo 1.87 descalzo",P
"@msfernandezrial Hola Sol, ¡Disculpas! ¿Recibiste el pedido? Siempre que tengas dudas está disponible nuestro chat online",P
@hanover07127260 que te mejores en un año eso es por jugar y ser goleador de la plazita,N
@AntonellaMombru si igual si me vas a mostrar una foto no es nada pq prefiero las cosas saladas,NEU
"@cuervotinelli toy en San jose Papá, vine a ver una amiga, recién tamos almorzando , Tqm;3, te veo luego...",P
@lenaychantelle Hola lenay porfiii mandame saludame en tu proximo video y mandame un besote enorme te lo agradeceria mucho lele,P
"Que vengan los gurices que te juntabas hace mil año , y te digan para volver a juntarse. Es re lindo",P
q ladilla que sigan usando las caritas  &gt;.; y todas esas parece q tienen un retraso mas grande q no se,N
"@susanagladysfer si discrepa y deja su banca me parecería muy bien, pero así no me gusta, creo q es abuso. Besos, querida Susana.",NEU
"@perroju666 Tenemos, pero (1) no dura nada, porque la carga es terrible y (2) reemplazar las baterías nos sale carísimo y nunca hay plata",N
"@fernan_caceres Pedro ni lo conoce al tipo. Alguien que es íntimo de Susana, va en una lista del PN, después en otra del PC, cualquiera.",N
"me gustaría volver a sentir q tu me miras, sentirse la única persona en tu vida, rozar tu cuerpo sin preocupación alguna y ver como me",P
"le dije a mi mamá si podiamos salir hoy ya que esta re lindo el día y me dice ""tu padre y yo tenemos un cumpleaños hoy""",NEU
nadie quiere ir al prado,N
Si todo fuera distinto seria mejor,N
@AmorAKilates @Roocio_Mk si me pasa lo mismo!,NEU
Que situación espantosa la que acabo de pasar,N
@YesicaLorenzo si no te mandan sería un error garrafal,NEU
@DeLaFigurita Estamos rodeados de belleza. Sólo hay que saber mirar.,P
"@jacintah_ mi sobrina (2,5 años) anda con un monopatin, re copada!",P
Uff..no..no estoy feliz..teléfono de mierda que me despertó de mi sueño hermoso..,N
"Mi ultima semana de trabajo,que triste todo amigo,paso volando el año no creo",N
@ezies19 gracias a ti por tenerme como ejemplo a seguir  sos muy dulce,P
"@DonVascolet 24 horas depues recien lo analizo al tw ,por suerte no lo entendi jajaaa",P
Again me despierto tarde por andar viendo las chicas superpoderosas y kick buttowsky en la noche,N
Todo lo bueno que pase en el año. Poco a poco se esta perdiendo... Ups and downs...,N
@elsamariadelca1 ESCRITO de él para estos días 2Tes:2:9)con GRAN PODER y señales y prodicios mentirosos( ILISIONES fornicarias Ap:18,NEU
Hoy @Uber lanzó sus autos autónomos en San Francisco. Un pasito más cerca de Uruguay. Tremendo cc: @Uber_UY #uberlove,P
"@Camula7 Ese es el uno dos ideal, pero Rosita la embarra y la queda Olivia y el l bobeta obvio.",NEU
@faz500 Mientras el Poder Ejecutivo no decida que el efectivo en los restaurantes es un riesgo de seguridad y lo prohíba,NEU
Hoy es la primera vez en mi vida que trabajo más de 12 horas sin _tener que_ qué copado estar tan copado!,P
"@pablocardozo_uy bueno, no lo conozco, me emocionó si, y en todos lados está lleno de hijos de puta que a veces hablan bien",NEU
